iter	Logloss
0	0.6705381765
1	0.6508839724
2	0.6299200007
3	0.6147109873
4	0.6002185482
5	0.5878825452
6	0.5753184072
7	0.5611918829
8	0.5482214887
9	0.5399379525
10	0.5287801525
11	0.5183292244
12	0.5105822213
13	0.5015179924
14	0.4919160482
15	0.4832989507
16	0.476729409
17	0.4715995195
18	0.4658335121
19	0.4587355451
20	0.4536614319
21	0.4480280548
22	0.442634571
23	0.4388112523
24	0.4337049199
25	0.4309146182
26	0.4250644719
27	0.4214275416
28	0.4182197134
29	0.4144122142
30	0.4109075515
31	0.4070503227
32	0.4047273389
33	0.4006129158
34	0.3978270367
35	0.3949990001
36	0.392137311
37	0.3899951232
38	0.3877967114
39	0.3852619419
40	0.3832147384
41	0.3808320112
42	0.3790534322
43	0.3768063184
44	0.3754834414
45	0.3741950291
46	0.3725788014
47	0.3708839797
48	0.3690730876
49	0.366992947
50	0.3657331873
51	0.3642403289
52	0.3626350884
53	0.3611493902
54	0.3596378315
55	0.3584569436
56	0.3569628345
57	0.3558830391
58	0.3545838817
59	0.3537991528
60	0.3524433757
61	0.3512159258
62	0.3503838929
63	0.3500679325
64	0.3495883659
65	0.3494043754
66	0.3480366054
67	0.3469570794
68	0.3460970088
69	0.3452838187
70	0.3440302722
71	0.3429260277
72	0.3417331465
73	0.3410371654
74	0.3410228923
75	0.3403551885
76	0.3392222509
77	0.3380769214
78	0.3373157339
79	0.3372627827
80	0.3364614194
81	0.3358486533
82	0.3349829755
83	0.3335262896
84	0.3330321719
85	0.3328919739
86	0.3315573359
87	0.3307102523
88	0.3298967325
89	0.3295828905
90	0.3287423419
91	0.3280682203
92	0.327585643
93	0.327124963
94	0.3266573381
95	0.3262985162
96	0.3261268436
97	0.3253022526
98	0.3243508357
99	0.3234154266
100	0.3232672607
101	0.3224959154
102	0.3220065532
103	0.3209853933
104	0.3204403124
105	0.3203377476
106	0.3200522819
107	0.3200043981
108	0.3198419655
109	0.319794371
110	0.3192352176
111	0.3189518816
112	0.3182903684
113	0.317903261
114	0.3173617502
115	0.3165410777
116	0.3164233513
117	0.3162482055
118	0.3144026697
119	0.3140771637
120	0.313936509
121	0.313772926
122	0.3136191619
123	0.313558019
124	0.3129601945
125	0.3127511804
126	0.3120386373
127	0.311812343
128	0.3114447241
129	0.3104565072
130	0.3099026654
131	0.3091004382
132	0.308639391
133	0.3079366231
134	0.3073467973
135	0.3068356495
136	0.3062488154
137	0.3059816798
138	0.3056765527
139	0.305211069
140	0.3046898099
141	0.3044712886
142	0.3040955379
143	0.3035736883
144	0.303369486
145	0.303343722
146	0.3030842536
147	0.3024967224
148	0.3024889748
149	0.3022667397
150	0.3016561165
151	0.3010136701
152	0.3007987938
153	0.3004275495
154	0.2995934516
155	0.2988822594
156	0.2988423365
157	0.2986919589
158	0.298368223
159	0.2979819183
160	0.2978522045
161	0.2974331269
162	0.2969210103
163	0.2962255
164	0.296221206
165	0.2962211592
166	0.2955653626
167	0.2954469758
168	0.2949960824
169	0.2946513735
170	0.2940539701
171	0.2940097805
172	0.2938941956
173	0.2936473236
174	0.2932051224
175	0.2931169436
176	0.2929157674
177	0.2927183657
178	0.29236149
179	0.2921593901
180	0.2905067964
181	0.2899264807
182	0.289778274
183	0.2894767747
184	0.2892768899
185	0.2890829815
186	0.2888316556
187	0.2886012829
188	0.288041678
189	0.2879506657
190	0.2878374873
191	0.2874261095
192	0.2857399546
193	0.2855740802
194	0.2855345
195	0.285275478
196	0.2847954222
197	0.284244979
198	0.2842447951
199	0.2836430413
200	0.2832805293
201	0.2832805246
202	0.2830987974
203	0.2827366019
204	0.2826008119
205	0.2821876051
206	0.2820836229
207	0.2819351961
208	0.2813730689
209	0.2808279202
210	0.2806303533
211	0.28031793
212	0.2801543047
213	0.2795316493
214	0.2793324065
215	0.2791054818
